iter	RMSE
316	730.7059987
317	730.5800966
318	730.5198389
319	730.5079762
320	730.4408576
321	730.3773499
322	730.2219224
323	730.2142348
324	730.1311718
325	730.0610327
326	730.0547726
327	730.0015518
328	729.8658102
329	729.8514717
330	729.7538471
331	729.7009238
332	729.6880836
333	729.6436548
334	729.5883344
335	729.516379
336	729.495386
337	729.4602812
338	729.3600296
339	729.3457187
340	729.2065675
341	729.0843467
342	729.0214595
343	728.9646219
344	728.8508145
345	728.825825
346	728.8010524
347	728.6974944
348	728.6238054
349	728.5633085
350	728.5301989
351	728.4698691
352	728.4367642
353	728.3770004
354	728.3562961
355	728.2911785
356	728.2371167
357	728.1612633
358	728.1468098
359	728.067563
360	728.041392
361	728.015596
362	727.9774789
363	727.8468167
364	727.8175663
365	727.7826576
366	727.6630246
367	727.4778128
368	727.3888248
369	727.371639
370	727.2824977
371	727.2087985
372	727.164168
373	727.1079372
374	727.0561674
375	727.033191
376	726.9533148
377	726.9304801
378	726.9087394
379	726.8904605
380	726.8873129
381	726.8089184
382	726.7446643
383	726.7207437
384	726.6333943
385	726.5635924
386	726.5602192
387	726.5408332
388	726.3920764
389	726.3446275
390	726.2973241
391	726.2889538
392	726.2852553
393	726.2166723
394	726.1637354
395	726.1557991
396	726.0306823
397	726.0052489
398	725.9797231
399	725.9663958
400	725.9263705
401	725.8958264
402	725.8102919
403	725.7980857
404	725.7652189
405	725.7575587
406	725.6939483
407	725.6869158
408	725.6389397
409	725.6334918
410	725.5020275
411	725.4746081
412	725.4328484
413	725.4145855
414	725.3200835
415	725.2585993
416	725.1739217
417	725.1462169
418	725.1105514
419	725.0793524
420	725.0329689
421	724.9757723
422	724.9564845
423	724.8827276
424	724.8486993
425	724.8263981
426	724.8052185
427	724.74074
428	724.7285751
429	724.6823785
430	724.6070808
431	724.5376662
432	724.5157763
433	724.5081079
434	724.4531661
435	724.4173133
436	724.3977761
437	724.3636103
438	724.2727215
439	724.2479359
440	724.2216957
441	724.0813554
442	724.0289832
443	723.9833126
444	723.9230426
445	723.9200685
446	723.8766257
447	723.7953258
448	723.7521338
449	723.7346529
450	723.7206439
451	723.6759041
452	723.6317079
453	723.6050902
454	723.5606377
455	723.5091789
456	723.4738184
457	723.4466387
458	723.3819597
459	723.3557056
460	723.3132638
461	723.2883656
462	723.2333007
463	723.2254529
464	723.1912382
465	723.1098445
466	723.0713034
467	722.9690157
468	722.9659894
469	722.9030567
470	722.839851
471	722.7435516
472	722.7364284
473	722.6788691
474	722.618359
475	722.5655463
476	722.5205541
477	722.4368411
478	722.4236331
479	722.3918917
480	722.3063937
481	722.2961377
482	722.2493455
483	722.2351057
484	722.2004979
485	722.1632639
486	722.0646864
487	722.0353814
488	722.0169404
489	721.9439843
490	721.9340549
491	721.8791473
492	721.8307114
493	721.7532921
494	721.7230426
495	721.7109849
496	721.6779741
497	721.6023668
498	721.5833968
499	721.5380292
500	721.5035065
501	721.4177565
502	721.2783485
503	721.2587638
504	721.1378752
505	721.0209953
506	720.9316927
507	720.8635094
508	720.840031
509	720.7878961
510	720.6201875
511	720.6137109
512	720.5317426
513	720.4291695
514	720.3644348
515	720.3622473
516	720.3123835
517	720.304236
518	720.2643404
519	720.1975915
520	720.1704632
521	720.1654091
522	720.090008
523	720.0026304
524	719.9111059
525	719.8240612
526	719.7930878
527	719.7225483
528	719.6831555
529	719.666916
530	719.6222185
531	719.596865
532	719.5388403
533	719.51435
534	719.482043
535	719.4088337
536	719.3810815
537	719.3176225
538	719.2528899
539	719.2057726
540	719.1938175
541	719.1702752
542	719.1197512
543	719.0912737
544	719.0767657
545	718.9918071
546	718.9651295
547	718.9339368
548	718.8775465
549	718.8247035
550	718.7535479
551	718.679204
552	718.6086004
553	718.5863543
554	718.5248085
555	718.4787673
556	718.4366813
557	718.3889742
558	718.334209
559	718.2898142
560	718.2502432
561	718.2155922
562	718.1843825
563	718.1517268
564	718.1278124
565	718.0826822
566	718.0104596
567	717.922187
568	717.9133957
569	717.8828265
570	717.8567526
571	717.8242439
572	717.7792017
573	717.7276069
574	717.7005379
575	717.6944511
576	717.6839174
577	717.6423727
578	717.5872251
579	717.5452042
580	717.5167919
581	717.4118022
582	717.3590206
583	717.2593727
584	717.2403822
585	717.2284713
586	717.2024004
587	717.1598391
588	717.1492778
589	717.1407047
590	717.1230713
591	717.1078764
592	717.093586
593	717.0550522
594	717.0220542
595	716.9365641
596	716.9062627
597	716.8803676
598	716.824318
599	716.7469048
600	716.6965233
601	716.6494183
602	716.6315996
603	716.5792946
604	716.5157944
605	716.5007608
606	716.4573339
607	716.3275921
608	716.2650263
609	716.263202
610	716.2577744
611	716.2101487
612	716.1760736
613	716.1257676
614	716.1135894
615	716.0788757
616	716.0435242
617	715.9695765
618	715.9223262
619	715.8465798
620	715.8154977
621	715.7942068
622	715.784145
623	715.6932501
624	715.6327096
625	715.6035974
626	715.5791333
627	715.5454916
628	715.5179519
629	715.4769559
630	715.4545538
631	715.4141493
632	715.3859266
633	715.3714706
634	715.3164235
635	715.2989832
636	715.2811311
637	715.2247441
638	715.1461234
639	715.1174601
640	715.0331308
641	714.9191471
642	714.8911111
643	714.8361807
644	714.7728663
645	714.7035353
646	714.6850227
647	714.6299835
648	714.5732774
649	714.5555959
650	714.5190483
651	714.4903534
652	714.4455568
653	714.4214503
654	714.4110403
655	714.4010411
656	714.3773967
657	714.3082657
658	714.2624217
659	714.2206219
660	714.1817489
661	714.1078483
662	714.0411119
663	714.003932
664	713.9671221
665	713.916164
666	713.907001
667	713.7804462
668	713.760998
669	713.7186724
670	713.6707381
671	713.6300503
672	713.5910021
673	713.5477623
674	713.5305916
675	713.4668898
676	713.4663096
677	713.3343453
678	713.3069147
679	713.2421809
680	713.2184947
681	713.2058087
682	713.1740019
683	713.1617207
684	713.1275882
685	713.0883939
686	713.0690224
687	713.0190913
688	712.9825947
689	712.9650905
690	712.9377669
691	712.9286339
692	712.8924994
693	712.8139779
694	712.7853916
695	712.6671795
696	712.6273159
697	712.5470361
698	712.5285956
699	712.4884703
700	712.4838494
701	712.4625548
702	712.445341
703	712.4086747
704	712.3789679
705	712.3724774
706	712.3073881
707	712.3015475
708	712.2289344
709	712.2045681
710	712.0848154
711	712.0654948
712	712.0617099
713	711.9703021
714	711.8544265
715	711.8283225
716	711.8067066
717	711.7815575
718	711.7421434
719	711.6987793
720	711.6596734
721	711.6149963
722	711.522004
723	711.3844684
724	711.3491462
725	711.3195044
726	711.3034413
727	711.2908056
728	711.284781
729	711.2801513
730	711.2425779
731	711.2067786
732	711.1744002
733	711.1638639
734	711.0946653
735	711.0856096
736	711.0500032
737	711.0121903
738	710.9460699
739	710.9179787
740	710.9062156
741	710.8709377
742	710.8350434
743	710.801012
744	710.7417164
745	710.728582
746	710.7132772
747	710.6539263
748	710.5289279
749	710.4976896
750	710.458468
751	710.4230135
752	710.4142882
753	710.3250193
754	710.2991854
755	710.2764392
756	710.2493851
757	710.2217257
758	710.1987603
759	710.1224116
760	710.0899356
761	710.0753756
762	709.9849976
763	709.9145522
764	709.8497851
765	709.8057392
766	709.7892213
767	709.7638337
768	709.7230358
769	709.6797536
770	709.6663623
771	709.6413751
772	709.6326887
773	709.6274831
774	709.6033223
775	709.5862038
776	709.5612695
777	709.5220111
778	709.4850945
779	709.3980501
780	709.3827753
781	709.3788043
782	709.3605517
783	709.2811726
784	709.247236
785	709.1636573
786	709.1326031
787	709.0789565
788	709.049867
789	709.0484261
790	708.9851512
791	708.9829136
792	708.9338089
793	708.8550616
794	708.8432164
795	708.7996132
796	708.791932
797	708.7442454
798	708.7405182
799	708.7152576
800	708.7130487
801	708.669336
802	708.6368963
803	708.6259332
804	708.5744773
805	708.5173877
806	708.4819061
807	708.3861309
808	708.3646723
809	708.3372229
810	708.3092485
811	708.3016928
812	708.2548418
813	708.2392104
814	708.2159859
815	708.1879427
816	708.1499609
817	708.1244136
818	708.0776537
819	708.0720896
820	708.0106078
821	708.0035801
822	707.9952623
823	707.9707173
824	707.8834541
825	707.862632
826	707.811514
827	707.8033826
828	707.7603895
829	707.7200237
830	707.6713038
831	707.5819167
832	707.4977726
833	707.4625523
834	707.4405352
835	707.4308701
836	707.3931831
837	707.3825671
838	707.3193332
839	707.2809215
840	707.2387146
841	707.1942158
842	707.1708047
843	707.0909274
844	707.057849
845	707.0018945
846	706.990193
847	706.9447558
848	706.9312659
849	706.918168
850	706.8551643
851	706.7987087
852	706.7723014
853	706.7569898
854	706.7109127
855	706.6637819
856	706.6014614
857	706.5819313
858	706.5625752
859	706.4687978
860	706.4677657
861	706.3927023
862	706.3759383
863	706.3687304
864	706.3558116
865	706.3096465
866	706.2769584
867	706.2245938
868	706.1744665
869	706.1445948
870	706.1232778
871	706.1157194
872	706.102933
873	706.0977023
874	706.0753841
875	706.0627647
876	706.0562763
877	705.9980907
878	705.9906774
879	705.9591117
880	705.9106636
881	705.8988928
882	705.8520789
883	705.7911056
884	705.7210395
885	705.6427558
886	705.5955061
887	705.5850903
888	705.5789276
889	705.4670409
890	705.429533
891	705.4237613
892	705.3637609
893	705.3613421
894	705.3194648
895	705.2626921
896	705.2198198
897	705.1845529
898	705.154136
899	705.1332939
900	705.0860397
901	704.9905393
902	704.9527655
903	704.9357011
904	704.9150741
905	704.9112903
906	704.8749508
907	704.8247285
908	704.8211865
909	704.7962838
910	704.686607
911	704.6657101
912	704.6600478
913	704.6208392
914	704.5884199
915	704.5616092
916	704.5508092
917	704.4547549
918	704.4414306
919	704.4119665
920	704.3964014
921	704.3381054
922	704.2915747
923	704.2426008
924	704.21776
925	704.2145666
926	704.2097597
927	704.1912378
928	704.0957935
929	704.0412605
930	703.9498574
931	703.9328197
932	703.9025946
933	703.8858369
934	703.8519719
935	703.8431664
936	703.7584679
937	703.6452682
938	703.600086
939	703.5617872
940	703.5554989
941	703.5341824
942	703.5131359
943	703.5020448
944	703.485804
945	703.4622402
946	703.4028227
947	703.3393658
948	703.2794722
949	703.2330711
950	703.1689019
951	703.1203615
952	703.1080068
953	703.0703986
954	703.0511409
955	702.994694
956	702.8993271
957	702.8452008
958	702.8350548
959	702.8063409
960	702.7662849
961	702.7071687
962	702.6872232
963	702.6459855
964	702.6298421
965	702.6122897
966	702.5844417
967	702.5645098
968	702.5243611
969	702.4284657
970	702.4042769
971	702.3917999
972	702.3817197
973	702.3709887
974	702.3625403
975	702.3518702
976	702.2616325
977	702.2360618
978	702.2201226
979	702.1879757
980	702.1061482
981	702.0855951
982	702.0777412
983	702.0437204
984	702.037491
985	702.0154895
986	701.970893
987	701.9522968
988	701.9480261
989	701.9379637
990	701.8992917
991	701.864605
992	701.8390408
993	701.7872501
994	701.7592207
995	701.6901388
996	701.6806018
997	701.6256472
998	701.5604879
999	701.5239965
