Model,MAE,RMSE,R2
CatBoost_Opt,509.148993065093,829.1359157933123,0.6930999500879875
ExtraTrees,515.2879423187795,830.0310455246528,0.6924369378014701
RandomForest_Opt,511.06583918457267,830.551128606877,0.6920513896709656
GradientBoosting,516.9303197657594,845.7585571658778,0.6806710416731172
Lasso,783.4447543411765,1124.4418597997123,0.4355577521205839
Ridge,803.1668347200263,1175.879845731028,0.3827353635187368
LinearRegression,803.2385489661654,1176.0514422780514,0.38255519509572955
DecisionTree,817.2493288554448,1257.409336463779,0.29417202937193676
