================ Training Loss (Tue Dec  2 17:51:04 2025) ================
[Rank 0] (epoch: 1, iters: 280, time: 0.430, data: 0.000) , D_A: 0.246, G_A: 0.149, cycle_A: 2.445, idt_A: 0.000, D_B: 0.259, G_B: 0.423, cycle_B: 4.434, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 290, time: 0.449, data: 0.000) , D_A: 0.331, G_A: 0.425, cycle_A: 1.978, idt_A: 0.000, D_B: 0.293, G_B: 0.243, cycle_B: 3.680, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 300, time: 0.447, data: 0.000) , D_A: 0.345, G_A: 0.744, cycle_A: 2.131, idt_A: 0.000, D_B: 0.191, G_B: 0.300, cycle_B: 5.461, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 310, time: 0.447, data: 0.000) , D_A: 0.193, G_A: 0.387, cycle_A: 2.628, idt_A: 0.000, D_B: 0.251, G_B: 0.410, cycle_B: 2.723, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 320, time: 0.485, data: 0.000) , D_A: 0.281, G_A: 0.261, cycle_A: 2.303, idt_A: 0.000, D_B: 0.303, G_B: 0.372, cycle_B: 2.743, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 330, time: 0.516, data: 0.000) , D_A: 0.145, G_A: 0.417, cycle_A: 5.208, idt_A: 0.000, D_B: 0.131, G_B: 0.625, cycle_B: 4.241, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 340, time: 0.428, data: 0.000) , D_A: 0.335, G_A: 0.180, cycle_A: 3.974, idt_A: 0.000, D_B: 0.136, G_B: 0.338, cycle_B: 3.708, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 350, time: 0.459, data: 0.000) , D_A: 0.318, G_A: 0.585, cycle_A: 3.428, idt_A: 0.000, D_B: 0.265, G_B: 0.222, cycle_B: 2.505, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 360, time: 0.477, data: 0.000) , D_A: 0.236, G_A: 0.475, cycle_A: 3.458, idt_A: 0.000, D_B: 0.220, G_B: 0.369, cycle_B: 3.611, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 370, time: 0.463, data: 0.000) , D_A: 0.239, G_A: 0.220, cycle_A: 2.566, idt_A: 0.000, D_B: 0.230, G_B: 0.357, cycle_B: 3.760, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 380, time: 0.448, data: 0.000) , D_A: 0.224, G_A: 0.304, cycle_A: 3.495, idt_A: 0.000, D_B: 0.292, G_B: 0.333, cycle_B: 2.794, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 390, time: 0.451, data: 0.000) , D_A: 0.173, G_A: 0.325, cycle_A: 3.255, idt_A: 0.000, D_B: 0.074, G_B: 0.557, cycle_B: 5.329, idt_B: 0.000

